rank,twitter_handle,tutanota_email,notes
1,@BrainBoostBot,brainboostbot@tuta.com,Clean and on-brand; matches the Boost persona name
2,@FocusFuelBot,focusfuelbot@tuta.com,Energetic; already mentioned in the project plan
3,@ADHDBrainBoost,adhdbrain.boost@tuta.com,Explicit ADHD callout; searchable; plan's top pick
4,@ThinkDifferentlyBot,thinkdifferentlybot@tuta.com,Neurodiversity angle; less ADHD-specific
5,@DopamineBoostBot,dopamineboostbot@tuta.com,Science-y; resonates with ADHD audience
6,@ADHDHypeBot,adhdhypebot@tuta.com,Fun and casual; fits the hype buddy persona brief
7,@BoostYourBrainBot,boostyourbrainbot@tuta.com,Action-oriented; slightly long
8,@NeurodivergentBot,neurodivergentbot@tuta.com,Broader audience; less ADHD-targeted
9,@ADHDDailyBoost,adhddailyboost@tuta.com,Reflects the daily posting cadence
10,@FocusWithBoost,focuswithboost@tuta.com,Conversational; positions as a companion
